1,9/10/1984,Final Jeopardy!,HOLIDAYS,None,The third Monday of January starting in 1986,Martin Luther King Day
2,9/11/1984,Final Jeopardy!,THE CALENDAR,None,Calendar date with which the 20th century began,1-Jan-01
3,9/12/1984,Final Jeopardy!,LANGUAGE,None,It is the 2nd most spoken language in the world,English
4,9/13/1984,Final Jeopardy!,AMERICAN GOVERNMENT,None,"Since 1970, the only cabinet department not headed by a secretary",the Attorney General's Department
5,9/14/1984,Final Jeopardy!,THE OLYMPICS,None,"Of the 5 continents symbolized by Olympic rings, only one never to hold Games",Africa
9,9/20/1984,Final Jeopardy!,SCIENCE,None,The mammal that holds the record for the longest lifespan,man
10,9/21/1984,Final Jeopardy!,U.S. PRESIDENTS,None,"Adventurous 26th president, he was 1st to ride in an automobile & an airplane",Theodore Roosevelt
11,9/24/1984,Final Jeopardy!,TITLED HEADS,None,N.Y. financier Al Grimaldi is next in line for throne of this Mediterranean principality,Monaco
12,9/25/1984,Final Jeopardy!,RIVERS,None,"It carries more water than the longest rivers in Asia, Africa & No. America combined",the Amazon
13,9/26/1984,Final Jeopardy!,THE SOLAR SYSTEM,None,Only 1 of 9 planets not named for a Greek or Roman mythological figure,the Earth
14,9/27/1984,Final Jeopardy!,BUSINESS & INDUSTRY,None,"Automaker that introduced the alternator, power steering & electric ignition",Chrysler
56,11/26/1984,Final Jeopardy!,BUSINESS & INDUSTRY,None,Country that manufactures the most cars per year,Japan
57,11/27/1984,Final Jeopardy!,GOVERNMENT,None,Decade the last amendment to the Constitution was ratified in,the 1970s
58,11/28/1984,Final Jeopardy!,TRAVEL & TOURISM,None,"City that boasts the tallest U.S. monument, completed in 1965",St. Louis
59,11/29/1984,Final Jeopardy!,THE CALENDAR,None,The only day of the week named for a Roman god,Saturday
61,12/3/1984,Final Jeopardy!,EUROPE,None,The Soviet army was welcome in this capital in May of '45 but unwelcome in August '68,Prague
62,12/4/1984,Final Jeopardy!,U.S. PRESIDENTS,None,"President elected to 2nd term with 523 electoral votes, the greatest number in any election",Franklin D. Roosevelt
63,12/5/1984,Final Jeopardy!,SHOW BUSINESS,None,"Barrymore, Rathbone, Roger Moore & Larry Hagman are among 61 actors to play this character",Sherlock Holmes
64,12/6/1984,Final Jeopardy!,WORLD HISTORY,None,In 1804 this Caribbean country became 1st black nation to gain freedom from European colonial rule,Haiti
65,12/7/1984,Final Jeopardy!,TITLED HEADS,None,Queen of France 1559-60; Catholic Europe considered her the rightful queen of England,"Mary, Queen of Scots"
66,12/10/1984,Final Jeopardy!,U.S. GEOGRAPHY,None,The 2 states on both sides of the Mississippi,Louisiana and Minnesota
67,12/11/1984,Final Jeopardy!,WOMEN IN HISTORY,None,"Arrested for voting in 1872 election, she died 14 years before the 19th Amendment",Susan B. Anthony
68,12/12/1984,Final Jeopardy!,FLAGS,None,Country whose flag includes pictures of the British & Dutch flags,South Africa
110,2/8/1985,Final Jeopardy!,THE ZODIAC,None,Appropriate astrological sign shared by Britain's Princesses Anne & Margaret,Leo
276,9/30/1985,Final Jeopardy!,RECENT HISTORY,None,President under whom the U.S. gave full recognition to Communist China,Jimmy Carter
277,10/1/1985,Final Jeopardy!,MOVIES,None,"Compass directions of the Wicked Witches killed in ""The Wizard of Oz""",west & east
278,10/2/1985,Final Jeopardy!,THE CONTINENTS,None,"Of the 7, this continent has the greatest number of independent countries",Africa
279,10/3/1985,Final Jeopardy!,WORLD POLITICS,None,Last Communist party chief of the U.S.S.R. to leave office without dying,Nikita Khrushchev
280,10/4/1985,Final Jeopardy!,BUSINESS AND INDUSTRY,None,Over 1/2 of Fortune 500 and 42% of all N.Y. Stock Exchange companies are incorporated in this state,Delaware
306,11/11/1985,Final Jeopardy!,THE NOBEL PRIZE,None,"Since it was established in 1901, the Nobel Peace Prize has been awarded to these 2 U.S. Presidents",Theodore Roosevelt & Woodrow Wilson
307,11/12/1985,Final Jeopardy!,FLAGS,None,This color appears on more different national flags than any other,red
308,11/13/1985,Final Jeopardy!,BIOLOGY,None,"Of the 4, blood group of the universal recipient",AB
309,11/14/1985,Final Jeopardy!,U.S. GOVERNMENT,None,"Individual receiving 2nd-highest U.S. gov't salary -- $104,700 per year excluding expenses",chief justice
310,11/15/1985,Final Jeopardy!,LANDMARKS,None,Popular name for the Jefferson Nat'l Expansion Memorial,Gateway Arch
311,11/18/1985,Final Jeopardy!,THE 50 STATES,None,"Aside from the Dakotas & Carolinas, # of states with 2 words in their names as commonly used",6
312,11/19/1985,Final Jeopardy!,LITERATURE,None,"1952 novel that begins off the coast of Cuba, & ends on shore 3 days later",The Old Man and the Sea
313,11/20/1985,Final Jeopardy!,THE OSCARS,None,"Winning Best Actress Oscars in 1964 & 65, these 2 British-born actresses share the same 1st name",Julie Andrews & Julie Christie
314,11/21/1985,Final Jeopardy!,THE SUPREME COURT,None,This president appointed more Supreme Court justices than any other,George Washington
315,11/22/1985,Final Jeopardy!,THE AMERICAS,None,Westernmost national capital in the Americas,Mexico City
351,1/13/1986,Final Jeopardy!,THE MILITARY,None,Foreign country in which the most American soldiers are stationed,Germany
367,2/4/1986,Final Jeopardy!,ENERGY,None,"While U.S. is #2 petroleum producer in the world, this country produces the most",the Soviet Union
368,2/5/1986,Final Jeopardy!,ACTORS & ROLES,None,1 of 3 actors who won Best Actor Oscar for playing an actor,"Jimmy Cagney (for George M. Cohan), Ronald Colman, or Richard Dreyfuss"
369,2/6/1986,Final Jeopardy!,PRESIDENTS,None,"Of the 25 lawyers who have been President, he served most recently",Gerald Ford
370,2/7/1986,Final Jeopardy!,ROYALTY,None,"Just as wife of U.S. President is called ""First Lady"", husband of a reigning British Queen is called this",Prince Consort
371,2/10/1986,Final Jeopardy!,FICTIONAL CHARACTERS,None,"Mother of Bonnie Blue, she ran a sawmill after the Civil War",Scarlett O'Hara
422,4/22/1986,Final Jeopardy!,GAMBLING,None,"Next to slots, Nevada casinos make more money from this game than any other, nearly $3/4 billion in 1985",blackjack
423,4/23/1986,Final Jeopardy!,THE OSCARS,None,"This Best Picture had the shortest title, using only 2 different letters",Gigi
446,5/26/1986,Final Jeopardy!,THE NOBEL PRIZE,None,It's the only organization to have been awarded 3 Nobel Peace Prizes,the Red Cross
464,9/18/1986,Final Jeopardy!,U.S. PRESIDENTS,None,The number of U.S. Presidents in the 20th century to serve out at least 2 full terms,3
475,10/3/1986,Final Jeopardy!,U.S. GOVERNMENT,None,"In 1971, this agency left the Cabinet & became a non-profit corporation",the U.S. Postal Service
484,10/16/1986,Final Jeopardy!,ACTORS AND ROLES,None,2 stars who have portrayed author/reporter Carl Bernstein or a character directly based on him in film,Jack Nicholson & Dustin Hoffman
496,11/3/1986,Final Jeopardy!,ACTORS & ACTRESSES,None,2 of 3 performers to win three or more Academy Awards for acting,"(2 of) Katharine Hepburn, Walter Brennan or Ingrid Bergman"
497,11/4/1986,Final Jeopardy!,BEST SELLERS,None,"In 1985, autobiographies of these 2 men topped hardcover best seller lists",Chuck Yeager & Lee Iacocca
498,11/5/1986,Final Jeopardy!,ANCIENT WONDERS,None,"Of the other 6 wonders, this one was nearest to the only wonder which still exists, the pyramids",Pharos (Lighthouse) of Alexandria
499,11/6/1986,Final Jeopardy!,BUSINESS & INDUSTRY,None,This company's figures show about 7% of present U.S. work force got its start working for them,McDonald's
500,11/7/1986,Final Jeopardy!,HEALTH,None,Iceland shares the longest average life expectancy of 77 years with this other island country,Japan
501,11/10/1986,Final Jeopardy!,AMERICAN MOUNTAINS,None,"Of the more than 80 U.S. peaks over 14,000' that have names, most are in this state",Colorado
502,11/11/1986,Final Jeopardy!,U.S. HISTORY,None,"Of 9 ""wars"" in which the U.S. has been actively involved, these 2 lasted the longest",Vietnam and the Revolutionary War
503,11/12/1986,Final Jeopardy!,MAN IN SPACE,None,"Now seen as a TV spokesman, he was only astronaut to orbit earth in Mercury, Gemini, & Apollo craft",Wally Schirra
504,11/13/1986,Final Jeopardy!,AGRICULTURE,None,"Of the world's 4 largest countries in area, it has smallest percentage of farmland",Canada
505,11/14/1986,Final Jeopardy!,U.S. GOVERNMENT,None,Last year in which we went an entire calendar year without a vice president in office,1964
523,12/10/1986,Final Jeopardy!,KID STUFF,None,"In tic-tac-toe, maximum number of X's you can have on the board without winning",5
533,12/24/1986,Final Jeopardy!,4-LETTER WORDS,None,"The two 4-letter words found on a U.S. penny, one in English, one not",cent & unum
571,2/16/1987,Final Jeopardy!,BODIES OF WATER,None,"Bordering on Mich. & N.Y., these 2 Great Lakes are the only ones to border on 1 state each",Lake Huron & Lake Ontario
606,4/6/1987,Final Jeopardy!,ANIMALS,None,"With a young one valued at $1.4 million, Guinness calls them the most costly zoo animals",giant pandas
607,4/7/1987,Final Jeopardy!,ISLANDS,None,It's the largest island in the Mediterranean Sea,Sicily
617,4/21/1987,Final Jeopardy!,FAMOUS QUOTES,None,"In 1946 in Missouri, Churchill said, ""From Stettin... to Trieste,"" it ""has descended across the continent""",an Iron Curtain
618,4/22/1987,Final Jeopardy!,THE OSCARS,None,The last movie in black & white to win Best Picture was this 1960 Billy Wilder film,The Apartment
619,4/23/1987,Final Jeopardy!,GAY '90s,None,"By 1897, as many as half of Seattle's police & firemen had left the city to go there",the Yukon
620,4/24/1987,Final Jeopardy!,LONDON,None,"Borough in which Henry VIII was born, they say you can stand in 2 different hemispheres there",Greenwich
621,4/27/1987,Final Jeopardy!,CODES OF HONOR,None,"As bushido was to 16th century samurai, this was to 12th century knights",chivalry
662,6/23/1987,Final Jeopardy!,POP MUSIC,None,"Elvis Presley record which held Billboard #1 singles position for 11 weeks, longest in rock era","\""Hound Dog\""/\""Don't Be Cruel\"""
